"age","gender","height_cm","weight_kg","body.fat_.","diastolic","systolic","gripForce","sit.and.bend.forward_cm","sit.ups.counts","broad.jump_cm"
30,"1",175.7,69.3,1,1,1,45.3,16.9,45,211
21,"1",175.7,71.8,0,0,0,46.6,25,62,262
42,"0",165.4,49.9,1,0,0,22.8,16,27,125
23,"1",171,85,1,1,2,51.2,8.2,42,241
43,"0",165.3,66.8,1,1,1,32.6,17.9,35,164
63,"1",164.8,71.2,1,1,2,45.9,21.4,28,157
32,"1",171,78.2,1,1,1,35.2,7.5,57,225
27,"1",168.9,66.8,1,0,0,47.6,18.4,54,229
58,"0",158.9,57.3,2,1,1,24.4,22.4,25,135
21,"1",174.1,77,1,1,2,39,5.5,34,228
64,"1",168.5,66.3,1,1,1,22.4,0.4,23,128
59,"1",173,67.4,1,1,2,40.5,14.9,41,208
33,"1",165.7,78.5,1,1,1,53.2,9.9,45,213
28,"0",165.2,58.5,2,1,1,30.4,26.6,33,164
22,"1",170.7,72.2,1,1,1,46,20.7,49,226
21,"0",157.3,48.5,1,0,1,27.9,28.4,43,196
25,"1",171.7,61.6,0,0,1,44.6,0.7,37,207
24,"1",178.6,67.6,0,1,1,49.4,19.6,55,212
21,"0",161.7,63.3,2,1,0,30,23.7,41,180
46,"1",174.3,72.3,1,1,1,40.9,5.8,19,190
22,"0",163,54.2,1,0,0,31.6,30.9,36,170
35,"1",173.1,74.7,1,1,2,46.9,24.3,59,215
24,"0",172.4,65.16,1,0,0,32.6,19.8,40,177
22,"0",160,54.9,1,1,0,20.5,12.8,32,164
40,"1",182.9,77.9,0,1,1,46.4,20.3,49,233
43,"1",168,68.4,1,1,0,45.4,21.6,34,225
29,"0",158.5,53.32,1,1,1,28.4,19.2,43,169
55,"1",168,63.1,1,0,0,38.7,17.5,34,195
21,"1",170.4,107.9,2,1,1,49.5,5.9,37,200
21,"0",162.4,62.2,2,0,1,29.3,22.2,41,185
40,"1",164,79.1,2,1,2,29,3.2,35,181
23,"1",172.1,75.96,1,0,0,39.8,16.1,50,231
33,"1",172.6,79.3,2,1,2,39.9,16.1,51,200
64,"1",164.2,63.24,1,1,2,37.3,19.1,29,168
23,"0",169.4,48.8,1,1,0,18.6,22.2,27,138
26,"1",170.9,70.9,1,0,1,44.7,16.1,53,219
21,"0",149.9,48.4,2,0,0,22.5,23,42,162
60,"1",172.7,78,1,1,0,43.7,16.8,37,190
50,"1",174,80.2,1,1,2,41.3,3.2,27,191
28,"0",160.8,54,1,1,1,33.3,16.4,46,166
52,"0",153.8,61.7,2,1,2,23.6,19.4,24,143
31,"1",174.5,74,1,1,1,40,23,37,211
36,"0",159.6,47.9,1,0,0,18.1,21.2,31,148
28,"1",169.7,64.9,1,1,1,44.3,18,57,225
61,"0",153.4,49.1,2,0,1,25.7,24.8,26,120
24,"1",181.8,66.7,0,1,1,41.7,13.3,46,236
56,"1",184.6,90.5,1,1,1,48.1,-18,20,211
37,"1",179.2,89.5,1,1,2,49.4,21.9,45,232
58,"0",158.9,55.7,1,0,0,21.4,26.3,31,132
60,"1",164,59.4,1,1,0,32.1,5,35,165
30,"0",163.5,55.6,1,0,0,28.5,23.9,34,162
48,"0",159.1,56.2,2,1,1,23,22.8,30,168
30,"1",174.7,71.2,1,1,2,47.1,10.4,60,197
33,"0",170.5,54,1,1,0,25.5,27.6,52,186
22,"0",176.6,54.8,1,1,1,27.9,20,41,195
52,"1",168.8,74.3,1,1,2,31,22.4,23,188
55,"0",152.1,59.3,2,0,1,29.4,26.4,16,136
29,"1",171,74.5,1,1,1,35.3,13.2,46,205
64,"0",156.6,58.2,2,0,0,21,12.5,0,73
40,"1",174.2,77,0,1,1,55.9,20.7,60,227
38,"1",171.7,91.6,1,1,1,52.3,16.1,58,237
28,"1",161.9,61.7,0,1,0,41.4,10,56,250
21,"0",166.6,65.42,2,0,1,29.4,25.9,41,181
34,"1",176.3,74,1,1,1,39.3,17.7,56,218
35,"1",172.9,64.9,1,1,2,35.1,2,59,218
24,"0",158.4,53.7,2,1,2,22.8,19.9,40,162
26,"1",179.4,92.1,1,0,2,59.7,16.2,60,245
44,"1",167.1,71.2,1,1,2,44.9,16.5,42,202
36,"1",169.5,70.6,1,1,1,45.1,23.4,50,236
45,"0",155.7,43.3,1,1,1,21.3,14.2,17,133
51,"0",156,63.3,2,0,0,20.7,16.1,20,162
55,"1",169.3,71.9,1,1,2,31.8,5.4,33,199
62,"1",171.2,51.7,1,0,1,34.7,15.2,39,178
23,"0",165.6,48.6,1,1,1,20.6,22.7,28,140
42,"1",172.8,80.1,1,1,2,45,20.9,49,233
38,"0",164.4,56.2,1,1,1,28.9,17.1,29,169
56,"0",154.6,67.4,2,1,1,19.6,11.9,15,105
33,"1",180.8,73.64,1,1,1,46.6,7.5,48,223
62,"1",175.8,66.6,1,1,2,35.2,8,20,171
21,"0",161.1,50.6,1,0,0,23.6,26.8,51,160
35,"1",173.3,73.4,1,1,1,40.9,14.5,48,199
60,"1",171.2,69.8,1,1,1,39.8,18.9,28,184
21,"0",167.4,55.5,1,0,0,24.3,27.3,49,217
22,"0",166.1,41.6,1,0,0,19.2,13.3,25,146
23,"0",158,57,1,1,1,29.6,24,46,188
51,"0",156.4,76.8,2,1,2,20.3,19.8,0,105
63,"1",175.8,86.7,2,1,0,45.2,0.1,22,150
40,"0",158.5,56.9,1,1,1,30.1,16.1,17,161
24,"1",179.1,70.9,1,0,1,37.3,16.4,45,191
31,"0",157.6,53.8,2,0,1,22.4,6.5,23,158
57,"1",167.7,73.8,1,1,1,28.9,-4.5,27,139
33,"1",181.6,73.4,0,0,0,45.1,18.9,55,230
54,"1",160.7,59.7,1,1,1,41.5,19.5,51,206
22,"1",172.9,72,0,1,1,50,20.4,56,234
23,"1",175.1,82.7,1,1,2,56.8,11.1,58,217
59,"1",166.3,77.1,1,1,0,27.5,14.5,15,162
38,"1",171,69.3,1,0,1,47,18.3,48,220
28,"1",175.5,86.8,2,1,2,44.2,9,56,167
62,"0",161.7,58.3,2,1,2,24.9,19.2,36,145
30,"1",178,91.8,2,1,2,37.2,-3.6,18,211
25,"1",170.4,70.9,1,1,1,47.7,12.9,52,206
28,"0",158.8,52.2,1,0,0,21.1,24.9,27,141
28,"1",175.7,77.2,0,1,2,51,22.5,60,228
22,"1",166.7,69.8,1,1,1,35.6,10.2,51,198
25,"1",173.4,68.4,0,1,0,33.6,20.1,48,185
51,"1",176.6,91.2,2,1,1,38.3,1.5,29,155
21,"0",169.8,67,2,1,0,28.6,30.2,39,183
57,"0",159.3,47.8,1,1,0,16.5,22.4,19,107
62,"0",155.5,52.8,1,1,0,25,22.4,30,148
27,"1",167,74.6,1,1,1,41.2,13.8,51,196
64,"0",155.9,51.5,2,1,1,20.9,22.2,25,107
22,"1",177.1,63.3,0,0,2,47.6,12.3,55,250
62,"0",148.8,57.9,2,1,1,19.5,15.5,19,118
48,"0",144.5,51.8,2,1,1,22.3,14,30,108
49,"1",171.9,76.8,1,1,2,55.5,13,35,205
22,"1",169.3,67,1,1,1,40.6,10.8,58,191
36,"1",177.3,82.32,1,1,1,57.5,20.6,48,214
26,"1",174.2,70.3,1,2,2,36.7,23.1,39,215
25,"1",176.1,77.1,1,1,1,52.8,14.6,55,224
52,"0",163,55.4,1,1,1,27.2,20.9,32,154
31,"1",181.1,75.4,0,1,1,56,14.4,63,234
60,"0",156.5,61.22,2,0,0,21.9,18.9,13,108
41,"0",162.3,65.2,1,1,1,27.9,1.9,32,163
21,"0",171.4,70.94,1,0,1,32.3,24.6,54,197
60,"1",173.3,74,1,1,2,42.6,7.8,32,198
27,"1",170.8,68.8,0,1,1,43.8,21.8,59,238
25,"0",162.4,55.8,1,1,0,33.4,23,45,172
26,"0",160.8,66.12,2,1,1,19,16.7,17,132
29,"0",171,59.5,1,0,0,26.5,16.7,44,171
21,"1",172.9,67.9,1,1,2,33,-2.2,45,184
45,"1",170.4,80.8,1,1,2,54.5,4.9,37,229
24,"1",179.5,78.9,1,1,2,46,6.2,45,167
26,"0",162.7,51.4,1,0,0,22.7,15.7,40,191
27,"1",181.4,83.1,1,1,1,44.9,19,53,232
44,"0",167.7,56.2,0,0,0,35.1,21.5,44,175
21,"1",176,62.5,1,0,0,36,19.9,52,262
34,"1",171.2,88.5,1,1,2,51.1,7.4,51,210
30,"1",167.8,74.2,1,1,1,44.4,25.8,50,203
25,"1",184.3,85.1,1,1,1,54.5,17.2,47,221
48,"1",171.6,58.5,0,1,1,42.6,16,42,202
27,"1",172.7,76,0,0,0,43.4,12.7,57,229
35,"1",176.5,82.1,1,1,1,56.4,10.1,56,252
50,"1",166.4,84,2,1,1,36.1,2.4,30,153
26,"0",172.9,65.4,1,1,1,31.3,29.2,50,188
38,"1",179,83.4,1,1,1,31.4,-14.1,32,182
34,"1",171.1,66.3,0,1,1,40.4,17.9,55,245
25,"0",160.7,59.2,1,1,1,26.3,14.6,42,197
28,"1",171.4,79.8,1,0,1,46.6,22.9,66,258
54,"1",166,62.5,0,1,1,45.6,18.2,48,234
58,"0",154.8,51.3,2,1,1,22.8,18.4,17,112
25,"1",175.9,81.1,1,1,1,48.6,14.9,56,211
22,"0",169.5,61.6,1,1,1,28.7,14.9,52,176
60,"1",168,59,1,1,2,37.2,15.9,37,191
21,"0",165.9,71,2,1,1,27.5,25.1,34,180
58,"1",168.4,63.8,1,0,1,33.5,4.3,24,186
28,"1",174.2,75.6,1,1,0,54.8,12,52,240
26,"1",172.6,75.5,1,1,1,40.7,17.2,52,240
27,"1",189.2,78,0,1,1,49.1,13.6,49,248
50,"1",180.8,93.4,1,1,2,41,9.6,29,200
41,"0",170.4,63.8,1,1,1,27.5,25.8,41,168
60,"1",164,54.8,0,0,1,25.4,15.6,20,159
21,"1",170.5,64,0,1,1,48.1,19.8,73,290
60,"0",154.6,73.5,2,1,2,19.8,9.8,11,98
21,"0",155.7,44.7,1,1,1,28.8,22.6,35,184
50,"0",166,61.2,2,1,1,22.1,16.8,18,130
53,"1",167.3,72.96,1,1,1,44.2,17.6,47,208
24,"1",175.5,72.6,0,0,2,48.6,25.7,55,251
55,"1",167.8,64.7,1,1,2,39.9,16,19,195
26,"1",187.9,95.4,0,1,2,53.2,19.3,47,227
45,"1",176.6,58.88,0,1,2,41.8,27.4,41,209
22,"0",155.6,47.9,1,0,0,21.7,26,44,171
22,"1",165.2,62.8,1,1,0,43.1,22,55,232
60,"1",175.7,95.22,1,1,2,49.5,9,28,189
62,"1",170.8,79.88,1,1,1,32.2,15.2,36,154
25,"1",167.2,69.5,1,1,1,44.4,23.8,60,215
25,"0",148.7,51,2,1,0,25.6,23.6,37,168
30,"1",181.3,97.36,1,1,2,63.6,19.6,51,245
25,"1",178.7,63.8,1,1,1,29.7,1.5,33,214
24,"1",175.7,73.9,1,1,1,35,11.8,56,198
61,"1",176.5,75.48,1,1,1,46.1,12.8,32,193
60,"1",171.7,71.42,1,1,2,45.6,14.8,29,180
22,"0",161.8,58,1,1,1,30.1,26.6,44,198
46,"0",160.6,67.78,2,1,2,27.1,19.8,47,185
41,"1",178.8,82.6,1,1,2,55.1,17.36,39,236
24,"0",159.8,57.2,2,1,1,30.3,12.4,32,176
58,"0",150,55.7,2,1,2,22.6,17.5,18,120
24,"1",178.5,95.4,1,1,1,59.6,0.7,53,185
56,"0",153.3,51.6,1,1,0,24.8,21.2,29,158
40,"1",176.9,72.4,1,1,1,43.1,14.5,44,196
39,"1",170.5,71.8,1,1,1,42.3,12.5,44,185
23,"0",161,58.9,2,1,1,30.3,19.1,43,203
62,"0",156.3,67.28,2,1,2,25,-1.5,0,129
30,"1",173.7,71.5,1,1,2,39,17.4,43,213
25,"1",176.5,80.6,1,1,1,47.5,26,53,231
29,"0",160.8,78.32,2,1,1,32,14,31,128
35,"1",180.3,77.3,0,0,0,41.5,11.1,44,210
60,"0",166.8,56,1,1,2,23.7,21.8,31,123
24,"0",165.8,82.5,2,1,1,26.3,6.6,15,97
40,"1",170.8,68.5,1,1,1,28.8,-1,43,204
37,"1",175,63.7,1,1,0,40.7,9.1,41,220
23,"1",176.6,76.2,1,1,1,40.2,4.7,29,208
55,"0",156.4,52.8,2,1,2,19.8,24.1,34,134
37,"1",165.4,71.7,1,0,0,39.6,10.7,45,221
48,"0",164,65.6,2,1,2,23.7,24.1,40,142
23,"1",168.4,62.9,0,1,0,48.2,17.8,49,208
56,"1",172.2,69.5,1,1,1,44,11,34,193
38,"1",178.4,83.02,0,0,0,44.8,20.7,41,226
59,"1",167.9,64.9,1,1,0,41.2,14.4,36,201
23,"0",165.4,51.2,1,1,0,21.9,25.5,38,140
30,"0",169.3,66.2,2,1,2,29,14.8,42,186
32,"0",158.9,49.2,1,1,0,24.3,30.5,42,202
27,"1",171.2,73.1,1,0,0,56.9,8.4,45,209
42,"1",175.6,95.4,2,1,2,38.1,-5.5,15,62
50,"1",172.5,81,1,1,1,50.2,20.9,40,214
33,"1",174.9,80.2,1,1,1,50.7,19.3,53,233
43,"1",173.3,64.76,0,1,2,60.1,20,48,238
62,"1",168.4,71.6,1,1,2,42.7,17.1,45,213
27,"0",156.5,60.8,2,1,2,21.4,21.3,34,160
53,"0",155.5,49.6,1,1,2,23.3,24.9,34,126
56,"0",156.1,53.9,2,1,1,23,17.1,22,119
21,"1",172.7,76.2,1,1,1,34.1,2.5,55,160
24,"1",166.8,70,0,1,1,50.4,16.7,60,244
24,"0",163.2,70.2,2,1,1,34.2,23.1,47,165
60,"0",148.4,50.1,1,1,0,27.2,32.6,13,130
22,"1",168,60.8,1,1,1,31.7,15.9,57,233
43,"1",174,77,1,1,0,53.3,5.2,29,180
37,"1",170,74.4,1,1,1,46.3,17.4,37,224
29,"0",163,54.7,1,1,0,35.5,32.9,66,207
48,"0",160.5,58,1,0,0,25,15,37,140
32,"1",177.3,77.4,1,1,2,51.2,24.2,36,193
25,"1",170,78.9,1,1,1,38.9,10.2,48,245
63,"0",146.5,41.4,1,0,1,17,21.8,12,131
25,"1",179.8,87.6,1,1,1,40.6,18,45,234
22,"1",168.7,75.1,1,1,2,53,15.5,50,160
28,"0",169.6,68,2,0,1,27.2,21.4,26,179
56,"1",171.8,77.5,1,1,1,36.6,0.4,23,180
45,"0",156.8,51.9,1,1,2,14.1,18.4,34,128
56,"0",159.9,80.72,2,1,2,26.1,24.5,18,138
61,"1",170.9,69,1,1,2,45.3,19.3,34,203
39,"1",179.3,77.9,1,1,2,38.7,6.9,32,234
48,"1",180.2,87,1,1,1,51.3,16.8,42,227
39,"1",169.2,84.6,2,1,0,37.1,13.9,34,165
24,"0",154.2,37.3,1,0,0,16.1,17.1,17,134
32,"0",170,56.6,1,1,0,28.6,10.9,43,159
30,"0",162.7,51.1,1,1,1,27.7,21.2,33,181
22,"1",166.2,78.7,1,1,0,42.5,7.4,40,204
44,"0",155.4,80.4,2,1,2,20,16.6,17,126
25,"1",178.6,78.5,1,1,2,44.3,23.8,60,224
43,"0",161,65.8,2,1,2,27.2,18,36,100
33,"1",174.9,79.9,1,1,1,52.1,16.2,76,244
63,"1",164.2,59.1,1,1,1,31.4,12,24,178
38,"1",175.7,70.7,1,0,0,41.7,15.1,43,236
27,"0",161.6,47.1,1,1,1,25.5,20,34,159
26,"0",160.9,51.5,1,1,1,26.3,29.7,36,168
22,"0",165.7,59.4,2,1,0,21.5,14.9,27,149
27,"1",177.9,87.8,1,1,0,42.6,18.3,58,218
32,"0",168,59.5,1,0,0,29,13.1,51,182
30,"1",178.3,76,0,1,1,38.4,20.9,47,222
55,"0",156.3,54.9,2,1,0,23.2,16.1,16,135
28,"0",164.9,54.18,1,1,0,29,17.7,42,175
26,"0",156.9,63.5,2,1,1,27.5,24.8,50,177
53,"0",139.8,64.72,2,1,1,23.6,7.8,7,125
38,"1",173.2,94.1,2,1,2,58.1,3,44,170
27,"1",182.1,83.2,0,1,0,49.6,14.1,62,245
51,"1",159,62.3,1,1,2,42.4,15.7,44,198
47,"0",157,70.9,2,0,0,24.7,14.8,19,132
25,"0",157.8,44.8,1,1,1,20.6,18.9,38,162
30,"1",178.5,70.1,1,1,1,48.9,15.4,52,245
22,"0",162.2,43.7,1,1,0,21,15.8,39,168
28,"0",169.3,68.1,1,1,1,32.7,24.8,33,175
27,"0",156.3,50.7,1,1,1,29.1,25,60,202
56,"0",159.2,47.9,1,1,2,25,12.1,26,141
24,"1",161.3,63.3,1,1,1,37.9,4.9,53,196
35,"1",176.6,70.1,0,1,0,36.7,14.2,54,262
48,"1",178.4,73.8,1,1,1,35.6,10.4,46,180
59,"1",171,66.2,1,1,1,37.1,15.6,41,184
59,"1",179.3,69.8,1,1,1,42.7,15.2,23,178
27,"1",169.6,68.5,1,1,2,49.4,22.1,59,261
64,"0",161.7,63.5,2,0,2,17,-6.1,0,70
21,"0",171.9,69.5,2,1,2,27.4,17.6,34,141
33,"1",174.8,69.4,0,1,2,55.7,17.7,59,241
28,"1",175.8,93.3,2,1,1,42.6,11.5,38,215
43,"1",167.8,68.24,1,1,0,39.5,12.5,31,214
21,"0",167.9,57.6,1,1,0,24.1,24.4,52,196
29,"1",179.4,77.6,1,1,2,46.1,27,54,248
51,"1",167.4,56.4,0,1,1,30.8,9.2,46,212
26,"1",183,91.5,0,1,2,59.8,24,52,218
60,"0",160.1,60.3,2,1,1,27.3,15,11,101
25,"1",168.4,67.3,1,1,1,39.9,16.8,45,198
22,"0",164.5,54.6,1,1,1,31.9,23.3,40,185
60,"1",173.2,80.5,1,1,2,46.9,8.6,48,211
22,"0",158.1,76.1,2,0,0,26.3,5.2,29,137
63,"1",162.6,68.7,1,1,2,46.5,18.6,34,189
32,"1",173,74.7,0,1,1,53.8,23,76,274
26,"1",172.3,118.6,2,1,2,57.3,3,29,195
25,"0",173,66.2,1,1,0,35.4,26.3,43,183
27,"0",158.4,51,1,1,0,25.9,13.1,39,148
25,"1",169.7,53,1,1,2,36.4,17.3,34,174
38,"1",158.9,69.9,2,1,2,30.1,2.5,26,145
24,"1",177.5,83.2,1,1,2,47.6,21.6,48,254
21,"1",171.1,57.7,0,1,2,44.6,13.6,50,229
53,"1",170.9,66.86,1,1,2,46.8,-4.5,14,153
30,"1",170.5,67.8,1,1,1,48.4,11,51,204
22,"1",166,62.4,1,1,1,38.5,19.1,45,185
21,"1",168.2,64,1,1,2,37.9,15.5,66,233
41,"1",174.7,75.2,1,1,1,52,22,46,211
61,"1",166.9,68,1,0,1,40.6,18.2,28,190
50,"1",183.6,83.9,1,1,2,59.4,21.5,46,227
31,"1",173.4,84.9,2,0,0,33.7,1.4,33,190
37,"1",166.8,74.2,1,1,1,40.3,3.1,43,223
55,"1",164.9,61.6,1,1,2,39.4,14.4,27,189
51,"0",167.2,58.52,1,1,1,19.6,12.8,21,165
23,"0",160.3,46.8,1,1,1,16,12.7,17,126
37,"1",169.1,81.6,2,1,2,38.1,-6.3,38,161
50,"1",175,76.9,1,1,1,42.5,13,36,198
23,"1",168,57.3,0,0,0,45.6,14.9,50,242
48,"1",177.1,67.8,0,0,1,41.8,16.2,56,208
42,"1",169,72.3,1,1,0,46.6,20.7,46,240
24,"0",154.7,62.4,1,0,0,33,22,49,179
22,"1",170.9,57.1,0,0,0,40,12.1,49,226
54,"0",155.9,62.7,2,1,2,27.5,10,12,100
42,"1",171.5,91,2,1,1,42.8,3.2,27,203
25,"0",164.9,67,2,1,0,28.6,15.4,35,149
50,"1",168.8,76.8,1,1,1,43.1,5.5,39,197
24,"1",174.5,79.94,0,1,2,55.3,20.2,62,268
32,"1",184.7,85.6,1,1,2,55.1,26.1,50,237
61,"1",171.2,60.9,0,0,1,37.7,-9.9,24,176
23,"0",157.1,48.6,2,1,1,27.1,20.4,43,162
23,"1",173.2,66.7,0,1,2,42.1,19.2,57,218
21,"0",160.7,59.38,2,1,1,26.1,28.5,37,155
29,"1",175.4,70.4,1,1,1,50.4,18,60,250
33,"1",176.8,72.2,0,1,0,42.5,15.5,45,218
64,"0",153.8,54.3,2,1,2,20.2,20,19,111
51,"1",173.8,64.6,1,1,1,31.4,12.8,53,220
22,"1",170.8,67.2,0,1,2,44.9,22.1,58,234
55,"0",155.1,66.5,2,1,1,24.7,18.2,13,102
26,"0",162.8,54.4,1,1,1,34.6,22.9,57,186
26,"1",164.1,63.4,1,0,1,48.2,14.6,44,223
55,"1",168.3,65.7,1,1,0,38.9,14.6,33,191
27,"1",185.3,75.6,1,1,2,45.1,16.3,56,211
33,"1",177.5,68,1,1,0,43.5,12.1,52,195
58,"0",151.3,48.5,1,1,2,17.3,19,25,131
33,"0",159.7,51.9,2,1,1,25.7,16.7,35,144
23,"0",169.9,54.2,1,0,0,18.2,22.8,21,133
40,"1",173.8,77.6,1,1,1,45.6,9.8,43,198
22,"1",175.1,65.04,0,0,1,45.2,13.6,57,234
35,"1",186.4,75.7,1,2,2,54.2,24,50,230
57,"0",161.1,52.3,2,0,1,28.2,19.4,27,159
45,"1",175.6,76.9,0,1,1,48.5,10.2,53,222
37,"0",173.5,58.7,1,1,2,30.8,23.8,42,189
62,"0",159.8,57.1,2,1,1,25.2,22.3,13,127
31,"0",165,57.3,2,1,1,25.2,18,0,123
21,"0",161.4,57.5,2,1,0,21.6,2.5,18,153
56,"0",158.4,49.3,1,1,0,21.3,9,5,116
21,"1",173.7,63.2,0,1,1,40.3,13.1,57,244
32,"1",172.8,76.1,1,0,0,57.4,18.3,55,239
27,"1",173.5,74.5,1,0,1,35.3,14.1,50,230
27,"0",164.7,61.7,2,0,0,25.7,14.6,47,117
28,"0",158,51.9,1,1,1,24.1,30.9,70,191
47,"1",173.2,80.4,1,0,0,39.6,-1,37,182
24,"1",179.7,72.3,1,1,2,41.3,14.1,55,229
28,"1",176.8,85.9,1,0,1,48.2,6.3,49,226
25,"1",164.9,71.7,1,1,1,40.1,18.7,70,223
62,"1",167.7,78.9,2,1,2,36.3,7.1,26,174
25,"1",185.9,78.76,1,1,0,49.3,5,39,219
26,"0",157.7,52.9,1,1,1,32.1,19,47,173
39,"0",158.5,57.1,1,0,1,28,20.1,21,139
26,"1",178.9,82.8,1,1,1,52.7,11.6,44,192
37,"1",171.2,79.1,1,1,2,55.8,14.4,33,214
29,"1",182.4,91.3,1,1,2,60,25.5,51,215
57,"0",167,56.4,1,1,1,27.9,23.1,37,165
61,"1",170,72.6,1,1,2,30.9,6.3,24,165
57,"1",164.9,60.7,1,1,2,41.5,7.2,33,182
27,"0",159,50.8,1,1,1,26.7,22.5,32,148
36,"1",159,51.5,1,0,0,21.2,14,26,129
38,"1",167,63,0,0,0,43.3,24.21,49,228
29,"1",181.4,81.12,1,1,1,43,8.1,42,178
31,"1",178.3,79.1,0,1,1,55.3,15,46,217
25,"0",163.3,53.4,1,1,1,33.7,21.1,43,169
39,"1",167.5,72.8,1,1,2,37.7,8.6,46,205
23,"1",168.2,65.8,1,1,1,42.8,12.5,48,213
21,"1",170.9,71.1,0,1,2,40.4,22.2,57,249
33,"1",172.8,70.2,1,0,0,39.8,7.8,40,199
29,"1",175.6,84.5,1,1,0,65.2,12.5,49,240
23,"0",161.6,52.4,2,1,1,26,13,36,185
42,"0",162.7,69.1,2,1,1,23.3,21,16,136
28,"0",160.9,67.2,2,1,1,31.2,23.2,32,163
48,"1",177.5,78.5,1,1,1,47.8,-0.5,60,212
22,"0",157.9,47.2,1,0,0,25.7,23.6,46,188
21,"0",162.7,57.2,1,1,0,26.6,34.4,43,188
38,"1",168,75.8,1,1,0,55.4,23,61,253
41,"0",163,64.2,2,0,0,24.6,4,17,131
33,"1",169.9,72.1,1,1,1,37.4,10.5,47,194
60,"1",164.9,70.4,2,1,2,37.6,14.8,27,162
64,"1",164.3,66.82,1,1,2,43.3,19.3,41,178
27,"0",158.9,58.9,2,1,1,23.2,14.4,35,165
48,"1",190,85.9,0,1,0,56.9,16.8,39,219
23,"1",171.7,79.7,1,1,2,46.1,2.4,47,222
52,"0",165.4,61.06,2,1,1,23.6,19.6,24,122
52,"0",156.5,61.1,2,1,2,28.8,21.9,21,147
64,"0",149.4,55,2,1,2,23,21,30,101
34,"1",167.3,71.8,2,1,1,33.5,9.2,30,192
27,"1",172.2,69.4,0,1,2,48.2,23.9,59,235
28,"0",160.1,59.6,1,0,0,28.4,19.9,46,183
35,"1",176.4,66.3,1,1,2,46.7,14.7,42,238
32,"1",172.3,69.6,1,1,2,39.6,-0.6,46,214
62,"1",170.5,75.8,1,1,2,33.4,12.4,32,177
47,"1",174,86.2,1,1,2,38,19.4,49,201
37,"0",162.8,56.9,1,1,1,31,31.2,67,203
46,"0",161.2,60.5,1,1,1,21.8,19.1,31,155
46,"0",167.5,57.5,1,1,1,24.9,14,20,146
36,"1",177.6,88.5,1,1,1,43.4,6.3,32,178
41,"0",160.5,67.9,2,1,0,27.7,20,7,164
60,"1",164.9,67.56,1,1,0,39,4.5,24,174
43,"1",173.6,74.4,1,1,0,48.5,13.7,58,220
30,"0",158.2,57.4,1,1,1,35.7,13.22,29,148
39,"0",156.4,55.5,2,0,0,20.3,10.2,20,155
21,"1",165.9,64,1,1,2,39.7,17.5,57,218
37,"1",167.7,77.3,1,2,2,49.1,15.6,57,226
32,"1",170.3,76.9,1,1,1,41.9,19.1,50,230
64,"1",169.8,84.9,1,1,2,50.7,12.9,32,170
26,"1",176.7,72.4,0,0,1,51.7,21.4,56,260
50,"1",166,64.3,1,1,0,32.6,5.1,24,180
30,"0",152.4,47.8,1,1,0,26,27.8,46,167
22,"0",156.5,54.2,1,1,1,31.6,14.2,38,121
38,"1",171.7,77,1,1,1,45.9,7.5,27,201
26,"0",160,48.36,1,0,1,21,22,22,132
64,"0",147,52.4,2,0,0,24.1,24.7,17,126
56,"1",166.8,64,1,1,1,50.7,13,36,197
35,"1",181.2,77.5,0,0,1,49,9.1,49,203
26,"1",166.3,67.2,1,1,1,45.5,16.8,49,241
27,"0",174.3,57,0,1,1,33.9,30.1,68,201
43,"1",176.5,80.62,1,1,2,48.4,15.6,48,211
27,"0",169.8,64.4,1,1,0,30.1,22.3,19,141
45,"1",166.9,68.2,1,1,2,47.6,16,50,198
43,"0",164,58.6,2,1,0,29.7,16.8,31,156
24,"0",165.6,53.3,1,0,0,25.8,26.5,40,185
21,"0",157.6,55.3,2,0,0,26.3,21.4,36,172
23,"1",163,61.16,0,0,1,38.3,20.8,54,218
26,"1",166,67.3,1,1,2,32.6,16.1,48,220
27,"0",166,46.6,1,0,0,23.1,21.5,23,176
60,"0",159.9,62.7,2,1,1,23.3,8.9,5,78
55,"0",155.1,47.7,1,1,1,26.8,29.2,31,146
38,"1",172.2,94.5,2,1,2,42.3,8.8,47,202
63,"0",167.8,68.6,2,1,2,27.3,22.1,18,126
53,"0",158.8,56.8,2,0,1,25.6,19.7,23,146
64,"0",157.8,60.4,2,1,2,24,17.2,4,95
23,"1",169,86.22,2,0,1,42.8,5.4,41,198
24,"1",174.9,70.5,1,1,1,35.7,16.5,61,219
30,"0",148.8,44.3,1,0,0,20.4,12.3,28,128
51,"1",161.2,56.3,1,1,1,31.3,7.2,20,183
58,"1",175.9,77.3,1,1,2,44.4,7.4,35,190
41,"1",185.2,88.66,1,1,2,37.9,4.5,46,229
49,"0",157.9,53,2,0,2,19,13.1,0,140
22,"1",163.9,69.4,1,1,2,50.3,17.4,66,222
63,"0",157.4,55.82,2,1,2,21.2,13.2,4,103
56,"0",152.1,57.3,1,1,2,16.9,22.5,0,126
28,"1",174.6,78.2,1,1,1,49.1,16.6,51,225
50,"0",166.7,62.6,2,0,0,23.1,15,20,52
35,"1",164.9,77.5,2,1,1,52.4,7,30,195
21,"1",168.7,70.3,1,1,0,42.4,8.6,47,196
47,"1",171.9,73.2,1,1,2,47.8,14.7,50,193
24,"0",162.4,63.1,2,1,0,31.8,20.7,54,222
